position_X,position_Y,velocity_X,velocity_Y,pressure,size
500.0,1427.0,0.0,0.0,0.8125,0.023529414
538.0728,1431.7859,-94.950005,-42.97271,1.075,0.04705883
560.5654,1433.9604,1454.3569,126.232895,1.075,0.050980397
590.939,1439.1174,2332.3928,206.77742,1.075,0.054901965
633.5861,1436.2383,2882.8599,-392.51358,1.075,0.06666667
683.2395,1425.8837,2996.081,-992.5713,1.075,0.054901965
729.7336,1412.1799,2589.8672,-792.03723,1.075,0.050980397
775.6162,1398.6385,2776.91,-869.06354,1.075,0.043137256
843.2142,1386.387,5189.966,-600.5191,1.075,0.039215688
912.20056,1380.8896,3434.4463,83.375786,1.075,0.03529412
949.22784,1381.0,1820.5615,-0.102573685,1.075,0.03137255
970.9279,1385.9819,1017.932,307.1631,1.075,0.03137255
981.2787,1388.5697,524.8669,131.65979,1.075,0.03529412
986.7579,1390.7579,15.408395,129.63321,1.075,0.03529412
988.0,1394.8619,-63.065384,256.35986,1.075,0.03529412
982.31586,1400.4105,-1019.24316,463.62704,1.075,0.039215688
966.4448,1410.597,-1042.1332,651.54803,1.075,0.043137256
939.78845,1423.6035,-1702.5122,414.9891,1.075,0.043137256
906.94934,1428.0,-2326.7217,-97.20925,1.075,0.04705883
863.0696,1415.7633,-3260.2268,-1168.6696,1.075,0.03529412
788.9961,1369.7151,-5645.6265,-4390.7305,1.075,0.039215688
694.88904,1273.5607,-4864.7314,-6501.1177,1.075,0.039215688
629.30414,1162.7949,-3139.235,-5624.4424,1.075,0.050980397
612.84393,1120.1006,-544.1007,-1997.628,1.075,0.039215688
604.12103,1091.4843,-340.74384,-1564.2407,1.075,0.04705883
601.18054,1067.9857,-130.81956,-1499.215,1.075,0.050980397
600.0,1045.0437,51.87292,-1530.6403,1.075,0.043137256
609.57794,1014.36255,1003.5369,-2667.9407,1.075,0.04705883
661.7495,940.6673,3525.594,-4698.6,1.075,0.043137256
715.7349,880.70825,1459.3912,-855.03125,1.075,0.043137256
759.64325,855.4826,3779.3574,-1727.9042,1.075,0.043137256
826.9355,832.5699,3102.6238,-421.7906,1.075,0.04705883
