position_X,position_Y,velocity_X,velocity_Y,pressure,size
675.0,1635.3966,0.0,-130.30176,0.7875,0.03137255
674.1471,1634.1471,-62.10855,-62.10227,0.7875,0.03137255
671.235,1633.1176,-329.50812,-194.25014,0.7875,0.03137255
668.9223,1631.9612,-129.0396,-61.05501,0.7875,0.03137255
668.0,1629.7264,0.31280482,-130.07207,0.7875,0.03137255
667.0,1624.3259,-0.03230453,-537.74304,0.7875,0.03137255
666.4722,1612.3054,-176.10872,-972.8859,0.7875,0.023529414
665.27856,1596.2288,-186.0386,-1107.2714,0.7875,0.03137255
664.08264,1578.5785,-194.02945,-800.5995,0.7875,0.03137255
663.0,1563.3591,71.402985,-642.06995,0.7875,0.03137255
663.0,1553.2133,-0.46947116,-480.42224,0.7875,0.03137255
666.3898,1550.0,57.57594,73.473305,0.7875,0.03137255
671.7532,1551.7532,395.3841,539.29596,1.0625,0.03529412
680.8775,1559.102,713.6306,582.0894,1.0625,0.039215688
693.80365,1571.8037,1091.6716,1091.8248,1.0625,0.039215688
717.3393,1587.1938,2160.6184,1128.672,1.0625,0.04705883
763.19,1596.6488,3131.9246,390.69,1.0625,0.050980397
835.3945,1597.0,4580.65,-0.63588923,1.0625,0.043137256
908.2628,1610.0751,4834.8823,1472.2983,1.0625,0.039215688
965.5,1633.5,3783.316,1696.4106,0.58750004,0.019607844
333.0,2095.0,0.0,0.0,0.4875,0.015686275
333.0,2095.0,0.0,0.0,0.75,0.019607844
