TimeStamp,TYPE_ACCELEROMETER_X,TYPE_ACCELEROMETER_Y,TYPE_ACCELEROMETER_Z,TYPE_MAGNETIC_FIELD_X,TYPE_MAGNETIC_FIELD_Y,TYPE_MAGNETIC_FIELD_Z,TYPE_GYROSCOPE_X,TYPE_GYROSCOPE_Y,TYPE_GYROSCOPE_Z,TYPE_ROTATION_VECTOR_X,TYPE_ROTATION_VECTOR_Y,TYPE_ROTATION_VECTOR_Z,TYPE_LINEAR_ACCELERATION_X,TYPE_LINEAR_ACCELERATION_Y,TYPE_LINEAR_ACCELERATION_Z,TYPE_GRAVITY_X,TYPE_GRAVITY_Y,TYPE_GRAVITY_Z
20160924-002620,-0.46925354,-0.39263916,9.19133,12.504578,19.148254,-44.270325,0.18215942,1.339035,-0.20347595,-0.011779785,0.03375244,0.3073883,-0.41629028,1.4181061,0.8725281,-0.8143158,0.49723816,9.760101
20160924-002620,-0.46925354,-0.39263916,9.19133,12.504578,19.148254,-44.270325,0.18215942,1.339035,-0.20347595,-0.004714966,0.046539307,0.2744751,-0.41629028,1.4181061,0.8725281,-0.8143158,0.49723816,9.760101
20160924-002620,-0.22984314,-1.1779327,10.958252,12.504578,19.148254,-44.270325,0.18215942,1.339035,-0.20347595,-0.004714966,0.046539307,0.2744751,-0.41629028,1.4181061,0.8725281,-0.8143158,0.49723816,9.760101
20160924-002620,-0.22984314,-1.1779327,10.958252,10.675049,17.971802,-44.10858,0.18215942,1.339035,-0.20347595,-0.004714966,0.046539307,0.2744751,-0.41629028,1.4181061,0.8725281,-0.8143158,0.49723816,9.760101
20160924-002620,-0.22984314,-1.1779327,10.958252,10.675049,17.971802,-44.10858,0.18215942,1.339035,-0.20347595,-0.004714966,0.046539307,0.2744751,-0.41629028,1.4181061,0.8725281,-0.9002075,0.64178467,9.744095
20160924-002620,-0.22984314,-1.1779327,10.958252,10.675049,17.971802,-44.10858,0.18215942,1.339035,-0.20347595,-0.004714966,0.046539307,0.2744751,0.6703644,-1.8197327,1.2141571,-0.9002075,0.64178467,9.744095
20160924-002620,-0.25378418,-0.28729248,12.318161,10.675049,17.971802,-44.10858,0.18215942,1.339035,-0.20347595,-0.004714966,0.046539307,0.2744751,0.6703644,-1.8197327,1.2141571,-0.9002075,0.64178467,9.744095
20160924-002620,-0.25378418,-0.28729248,12.318161,10.675049,17.971802,-44.10858,1.7448883,0.59121704,-0.19920349,-0.004714966,0.046539307,0.2744751,0.6703644,-1.8197327,1.2141571,-0.9002075,0.64178467,9.744095
20160924-002620,-0.25856018,2.4803925,10.632645,10.675049,17.971802,-44.10858,1.7448883,0.59121704,-0.19920349,-0.004714966,0.046539307,0.2744751,0.6703644,-1.8197327,1.2141571,-0.9002075,0.64178467,9.744095
20160924-002620,-0.25856018,2.4803925,10.632645,10.675049,17.971802,-44.10858,1.7448883,0.59121704,-0.19920349,0.1262207,0.061157227,0.23022461,0.6703644,-1.8197327,1.2141571,-0.9002075,0.64178467,9.744095
20160924-002620,0.028717041,3.4141235,8.966278,10.675049,17.971802,-44.10858,1.7448883,0.59121704,-0.19920349,0.1262207,0.061157227,0.23022461,0.6703644,-1.8197327,1.2141571,-0.9002075,0.64178467,9.744095
20160924-002620,0.028717041,3.4141235,8.966278,5.01709,0.82092285,-48.635864,1.7448883,0.59121704,-0.19920349,0.1262207,0.061157227,0.23022461,0.6703644,-1.8197327,1.2141571,-0.9002075,0.64178467,9.744095
20160924-002620,0.028717041,3.4141235,8.966278,5.01709,0.82092285,-48.635864,1.7448883,0.59121704,-0.19920349,0.1262207,0.061157227,0.23022461,0.6703644,-1.8197327,1.2141571,-0.51924133,3.91362,8.976746
20160924-002620,0.028717041,3.4141235,8.966278,5.01709,0.82092285,-48.635864,1.7448883,0.59121704,-0.19920349,0.1262207,0.061157227,0.23022461,0.5479584,-0.4994812,-0.010467529,-0.51924133,3.91362,8.976746
20160924-002620,0.5315094,4.3909607,8.607147,5.01709,0.82092285,-48.635864,1.7448883,0.59121704,-0.19920349,0.1262207,0.061157227,0.23022461,0.5479584,-0.4994812,-0.010467529,-0.51924133,3.91362,8.976746
20160924-002620,0.5315094,4.3909607,8.607147,5.01709,0.82092285,-48.635864,1.8301239,0.2034607,-0.6743164,0.1262207,0.061157227,0.23022461,0.5479584,-0.4994812,-0.010467529,-0.51924133,3.91362,8.976746
20160924-002620,-0.6943054,5.319916,6.9599304,5.01709,0.82092285,-48.635864,1.8301239,0.2034607,-0.6743164,0.1262207,0.061157227,0.23022461,0.5479584,-0.4994812,-0.010467529,-0.51924133,3.91362,8.976746
20160924-002620,-0.6943054,5.319916,6.9599304,5.01709,0.82092285,-48.635864,1.8301239,0.2034607,-0.6743164,0.28479004,0.09408569,0.14068604,0.5479584,-0.4994812,-0.010467529,-0.51924133,3.91362,8.976746
20160924-002620,-1.6950836,5.8418427,7.1179504,5.01709,0.82092285,-48.635864,1.8301239,0.2034607,-0.6743164,0.28479004,0.09408569,0.14068604,0.5479584,-0.4994812,-0.010467529,-0.51924133,3.91362,8.976746
20160924-002620,-1.6950836,5.8418427,7.1179504,5.1834106,-14.482117,-44.59381,1.8301239,0.2034607,-0.6743164,0.28479004,0.09408569,0.14068604,0.5479584,-0.4994812,-0.010467529,-0.51924133,3.91362,8.976746
20160924-002620,-1.6950836,5.8418427,7.1179504,5.1834106,-14.482117,-44.59381,1.8301239,0.2034607,-0.6743164,0.28479004,0.09408569,0.14068604,0.5479584,-0.4994812,-0.010467529,-1.6316376,6.28537,7.3483887
20160924-002620,-1.6950836,5.8418427,7.1179504,5.1834106,-14.482117,-44.59381,1.8301239,0.2034607,-0.6743164,0.28479004,0.09408569,0.14068604,-0.063446045,-0.44351196,-0.23043823,-1.6316376,6.28537,7.3483887
20160924-002620,-5.4683533,6.9096527,9.124298,5.1834106,-14.482117,-44.59381,1.8301239,0.2034607,-0.6743164,0.28479004,0.09408569,0.14068604,-0.063446045,-0.44351196,-0.23043823,-1.6316376,6.28537,7.3483887
20160924-002620,-5.4683533,6.9096527,9.124298,5.1834106,-14.482117,-44.59381,1.7299805,-0.7062683,-0.23010254,0.28479004,0.09408569,0.14068604,-0.063446045,-0.44351196,-0.23043823,-1.6316376,6.28537,7.3483887
20160924-002620,-2.1068878,5.578476,5.31752,5.1834106,-14.482117,-44.59381,1.7299805,-0.7062683,-0.23010254,0.28479004,0.09408569,0.14068604,-0.063446045,-0.44351196,-0.23043823,-1.6316376,6.28537,7.3483887
20160924-002620,-2.1068878,5.578476,5.31752,5.1834106,-14.482117,-44.59381,1.7299805,-0.7062683,-0.23010254,0.41938782,0.06448364,0.048446655,-0.063446045,-0.44351196,-0.23043823,-1.6316376,6.28537,7.3483887
20160924-002620,0.5315094,6.708542,6.72052,5.1834106,-14.482117,-44.59381,1.7299805,-0.7062683,-0.23010254,0.41938782,0.06448364,0.048446655,-0.063446045,-0.44351196,-0.23043823,-1.6316376,6.28537,7.3483887
20160924-002620,0.5315094,6.708542,6.72052,-4.3029785,-25.749207,-38.9328,1.7299805,-0.7062683,-0.23010254,0.41938782,0.06448364,0.048446655,-0.063446045,-0.44351196,-0.23043823,-1.6316376,6.28537,7.3483887
20160924-002620,0.5315094,6.708542,6.72052,-4.3029785,-25.749207,-38.9328,1.7299805,-0.7062683,-0.23010254,0.41938782,0.06448364,0.048446655,-0.063446045,-0.44351196,-0.23043823,0.516098,8.001862,5.645523
20160924-002620,0.5315094,6.708542,6.72052,-4.3029785,-25.749207,-38.9328,1.7299805,-0.7062683,-0.23010254,0.41938782,0.06448364,0.048446655,0.015411377,-1.2933044,1.0749817,0.516098,8.001862,5.645523
20160924-002620,-0.5171356,7.8960724,6.0788727,-4.3029785,-25.749207,-38.9328,1.7299805,-0.7062683,-0.23010254,0.41938782,0.06448364,0.048446655,0.015411377,-1.2933044,1.0749817,0.516098,8.001862,5.645523
20160924-002620,-0.5171356,7.8960724,6.0788727,-4.3029785,-25.749207,-38.9328,1.5680542,-0.06071472,0.16296387,0.41938782,0.06448364,0.048446655,0.015411377,-1.2933044,1.0749817,0.516098,8.001862,5.645523
20160924-002620,-0.65600586,7.254425,3.9288788,-4.3029785,-25.749207,-38.9328,1.5680542,-0.06071472,0.16296387,0.41938782,0.06448364,0.048446655,0.015411377,-1.2933044,1.0749817,0.516098,8.001862,5.645523
20160924-002620,-0.65600586,7.254425,3.9288788,-4.3029785,-25.749207,-38.9328,1.5680542,-0.06071472,0.16296387,0.5048828,-0.02003479,0.039596558,0.015411377,-1.2933044,1.0749817,0.516098,8.001862,5.645523
20160924-002620,2.1308289,10.510544,3.2010345,-4.3029785,-25.749207,-38.9328,1.5680542,-0.06071472,0.16296387,0.5048828,-0.02003479,0.039596558,0.015411377,-1.2933044,1.0749817,0.516098,8.001862,5.645523
20160924-002620,2.1308289,10.510544,3.2010345,-7.4645996,-31.298828,-32.94983,1.5680542,-0.06071472,0.16296387,0.5048828,-0.02003479,0.039596558,0.015411377,-1.2933044,1.0749817,0.516098,8.001862,5.645523
20160924-002620,2.1308289,10.510544,3.2010345,-7.4645996,-31.298828,-32.94983,1.5680542,-0.06071472,0.16296387,0.5048828,-0.02003479,0.039596558,0.015411377,-1.2933044,1.0749817,0.7526703,8.311157,5.1503754
20160924-002620,2.1308289,10.510544,3.2010345,-7.4645996,-31.298828,-32.94983,1.5680542,-0.06071472,0.16296387,0.5048828,-0.02003479,0.039596558,1.3781586,2.1993713,-1.9493256,0.7526703,8.311157,5.1503754
20160924-002620,0.04309082,8.489838,7.036545,-7.4645996,-31.298828,-32.94983,1.5680542,-0.06071472,0.16296387,0.5048828,-0.02003479,0.039596558,1.3781586,2.1993713,-1.9493256,0.7526703,8.311157,5.1503754
20160924-002620,0.04309082,8.489838,7.036545,-7.4645996,-31.298828,-32.94983,-0.2354126,1.4743195,-0.6285095,0.5048828,-0.02003479,0.039596558,1.3781586,2.1993713,-1.9493256,0.7526703,8.311157,5.1503754
20160924-002621,0.36869812,8.743622,6.495468,-7.4645996,-31.298828,-32.94983,-0.2354126,1.4743195,-0.6285095,0.5048828,-0.02003479,0.039596558,1.3781586,2.1993713,-1.9493256,0.7526703,8.311157,5.1503754
20160924-002621,0.36869812,8.743622,6.495468,-7.4645996,-31.298828,-32.94983,-0.2354126,1.4743195,-0.6285095,0.47166443,0.09640503,0.05757141,1.3781586,2.1993713,-1.9493256,0.7526703,8.311157,5.1503754
20160924-002621,0.36869812,8.743622,6.495468,8.345032,-29.112244,-36.346436,-0.2354126,1.4743195,-0.6285095,0.47166443,0.09640503,0.05757141,1.3781586,2.1993713,-1.9493256,0.7526703,8.311157,5.1503754
20160924-002621,-4.165909,8.154648,2.6982574,8.345032,-29.112244,-36.346436,-0.2354126,1.4743195,-0.6285095,0.47166443,0.09640503,0.05757141,1.3781586,2.1993713,-1.9493256,0.7526703,8.311157,5.1503754
20160924-002621,-4.165909,8.154648,2.6982574,8.345032,-29.112244,-36.346436,-0.2354126,1.4743195,-0.6285095,0.47166443,0.09640503,0.05757141,1.3781586,2.1993713,-1.9493256,-4.26915,7.573593,4.53685
20160924-002621,-4.165909,8.154648,2.6982574,8.345032,-29.112244,-36.346436,-0.2354126,1.4743195,-0.6285095,0.47166443,0.09640503,0.05757141,0.10324097,0.5810394,-1.8385925,-4.26915,7.573593,4.53685
20160924-002621,-3.3231506,9.050079,3.4644012,8.345032,-29.112244,-36.346436,-0.2354126,1.4743195,-0.6285095,0.47166443,0.09640503,0.05757141,0.10324097,0.5810394,-1.8385925,-4.26915,7.573593,4.53685
20160924-002621,-3.3231506,9.050079,3.4644012,8.345032,-29.112244,-36.346436,0.053253174,1.1046753,-0.2886963,0.47166443,0.09640503,0.05757141,0.10324097,0.5810394,-1.8385925,-4.26915,7.573593,4.53685
